code	codevn	libelle	type	
8	C1_8	Autres marais ouverts	HAB_TYP	(pr_vigienature.fct_get_nomenclature_type('HAB_TYP'),'8','C1_8','Autres marais ouverts'),
9	C1_9	Marais salants	HAB_TYP	(pr_vigienature.fct_get_nomenclature_type('HAB_TYP'),'9','C1_9','Marais salants'),
10	C1_10	Tourbières	HAB_TYP	(pr_vigienature.fct_get_nomenclature_type('HAB_TYP'),'10','C1_10','Tourbières'),
11	C1_11	Marais salé	HAB_TYP	(pr_vigienature.fct_get_nomenclature_type('HAB_TYP'),'11','C1_11','Marais salé'),
1	D1_1	Prairie cultivée	HAB_TYP	(pr_vigienature.fct_get_nomenclature_type('HAB_TYP'),'1','D1_1','Prairie cultivée'),
2	D1_2	Prairie non cultivée	HAB_TYP	(pr_vigienature.fct_get_nomenclature_type('HAB_TYP'),'2','D1_2','Prairie non cultivée'),
3	D1_3	Mixité prairie / cultures	HAB_TYP	(pr_vigienature.fct_get_nomenclature_type('HAB_TYP'),'3','D1_3','Mixité prairie / cultures'),
4	D1_4	Grandes cultures	HAB_TYP	(pr_vigienature.fct_get_nomenclature_type('HAB_TYP'),'4','D1_4','Grandes cultures'),
5	D1_5	Verger / vignes / maraîchers (mur, fossé)	HAB_TYP	(pr_vigienature.fct_get_nomenclature_type('HAB_TYP'),'5','D1_5','Verger / vignes / maraîchers (mur, fossé)'),
6	D1_6	Autres types de cultures	HAB_TYP	(pr_vigienature.fct_get_nomenclature_type('HAB_TYP'),'6','D1_6','Autres types de cultures'),
1	E1_1	Urbain	HAB_TYP	(pr_vigienature.fct_get_nomenclature_type('HAB_TYP'),'1','E1_1','Urbain'),
2	E1_2	Suburbain	HAB_TYP	(pr_vigienature.fct_get_nomenclature_type('HAB_TYP'),'2','E1_2','Suburbain'),
3	E1_3	Rural	HAB_TYP	(pr_vigienature.fct_get_nomenclature_type('HAB_TYP'),'3','E1_3','Rural'),
1	F1_1	Mare (moins de 50 m2)	HAB_TYP	(pr_vigienature.fct_get_nomenclature_type('HAB_TYP'),'1','F1_1','Mare (moins de 50 m2)'),
2	F1_2	Petit étang (50 - 450 m2)	HAB_TYP	(pr_vigienature.fct_get_nomenclature_type('HAB_TYP'),'2','F1_2','Petit étang (50 - 450 m2)'),
3	F1_3	Lac/réservoir (berges naturelles) 	HAB_TYP	(pr_vigienature.fct_get_nomenclature_type('HAB_TYP'),'3','F1_3','Lac/réservoir (berges naturelles) '),
3	F1_3	Pêche à la ligne (eau claire, peu d’algues)	HAB_TYP	(pr_vigienature.fct_get_nomenclature_type('HAB_TYP'),'3','F1_3','Pêche à la ligne (eau claire, peu d’algues)'),
4	F1_4	Réservoir (berges non naturelles)	HAB_TYP	(pr_vigienature.fct_get_nomenclature_type('HAB_TYP'),'4','F1_4','Réservoir (berges non naturelles)'),
5	F1_5	Carrière de gravier, de sable	HAB_TYP	(pr_vigienature.fct_get_nomenclature_type('HAB_TYP'),'5','F1_5','Carrière de gravier, de sable'),
6	F1_6	Ruisseau - Larg. < 3m	HAB_TYP	(pr_vigienature.fct_get_nomenclature_type('HAB_TYP'),'6','F1_6','Ruisseau - Larg. < 3m'),
6	F1_6	Autres dérangements (eau claire, bcp d’algues)	HAB_TYP	(pr_vigienature.fct_get_nomenclature_type('HAB_TYP'),'6','F1_6','Autres dérangements (eau claire, bcp d’algues)'),
7	F1_7	Rivière - Larg. 3 à 10m	HAB_TYP	(pr_vigienature.fct_get_nomenclature_type('HAB_TYP'),'7','F1_7','Rivière - Larg. 3 à 10m'),
8	F1_8	Fossé inondé - Larg. < 2m	HAB_TYP	(pr_vigienature.fct_get_nomenclature_type('HAB_TYP'),'8','F1_8','Fossé inondé - Larg. < 2m'),
9	F1_9	Petit canal –Larg. 2 à 5m	HAB_TYP	(pr_vigienature.fct_get_nomenclature_type('HAB_TYP'),'9','F1_9','Petit canal –Larg. 2 à 5m'),
10	F1_10	Grand canal - Larg. > 5m	HAB_TYP	(pr_vigienature.fct_get_nomenclature_type('HAB_TYP'),'10','F1_10','Grand canal - Larg. > 5m'),
11	F1_11	Eaux saumâtres salins, lagunes	HAB_TYP	(pr_vigienature.fct_get_nomenclature_type('HAB_TYP'),'11','F1_11','Eaux saumâtres salins, lagunes'),
12	F1_12	Fleuve, rivière Larg. > 10m 	HAB_TYP	(pr_vigienature.fct_get_nomenclature_type('HAB_TYP'),'12','F1_12','Fleuve, rivière Larg. > 10m '),
13	F1_13	Rives avec falaise	HAB_TYP	(pr_vigienature.fct_get_nomenclature_type('HAB_TYP'),'13','F1_13','Rives avec falaise'),
1	G1_1	Falaise	HAB_TYP	(pr_vigienature.fct_get_nomenclature_type('HAB_TYP'),'1','G1_1','Falaise'),
2	G1_2	Eboulis, pente rocheuse	HAB_TYP	(pr_vigienature.fct_get_nomenclature_type('HAB_TYP'),'2','G1_2','Eboulis, pente rocheuse'),
3	G1_3	Pavement calcaire	HAB_TYP	(pr_vigienature.fct_get_nomenclature_type('HAB_TYP'),'3','G1_3','Pavement calcaire'),
4	G1_4	Autres sols rocheux	HAB_TYP	(pr_vigienature.fct_get_nomenclature_type('HAB_TYP'),'4','G1_4','Autres sols rocheux'),
5	G1_5	Carrière (grimpeurs, promeneurs) 	HAB_TYP	(pr_vigienature.fct_get_nomenclature_type('HAB_TYP'),'5','G1_5','Carrière (grimpeurs, promeneurs) '),
6	G1_6	Mine / abîme / terril	HAB_TYP	(pr_vigienature.fct_get_nomenclature_type('HAB_TYP'),'6','G1_6','Mine / abîme / terril'),
7	G1_7	Grotte	HAB_TYP	(pr_vigienature.fct_get_nomenclature_type('HAB_TYP'),'7','G1_7','Grotte'),
8	G1_8	Dune	HAB_TYP	(pr_vigienature.fct_get_nomenclature_type('HAB_TYP'),'8','G1_8','Dune'),
1	A2_1	Semi-naturelle ou âges mélangés	HAB_CAT1	(pr_vigienature.fct_get_nomenclature_type('HAB_CAT1'),'1','A2_1','Semi-naturelle ou âges mélangés'),
2	A2_2	Plantation équienne	HAB_CAT1	(pr_vigienature.fct_get_nomenclature_type('HAB_CAT1'),'2','A2_2','Plantation équienne'),
3	A2_3	Plantation non-équienne	HAB_CAT1	(pr_vigienature.fct_get_nomenclature_type('HAB_CAT1'),'3','A2_3','Plantation non-équienne'),
4	A2_4	Plantation mâture (> 10m)	HAB_CAT1	(pr_vigienature.fct_get_nomenclature_type('HAB_CAT1'),'4','A2_4','Plantation mâture (> 10m)'),
5	A2_5	Jeune plantation (5-10m)	HAB_CAT1	(pr_vigienature.fct_get_nomenclature_type('HAB_CAT1'),'5','A2_5','Jeune plantation (5-10m)'),
6	A2_6	Parc (arbres épars et prairies)	HAB_CAT1	(pr_vigienature.fct_get_nomenclature_type('HAB_CAT1'),'6','A2_6','Parc (arbres épars et prairies)'),
7	A2_7	Sous-bois dense	HAB_CAT1	(pr_vigienature.fct_get_nomenclature_type('HAB_CAT1'),'7','A2_7','Sous-bois dense'),
8	A2_8	Sous-bois modéré	HAB_CAT1	(pr_vigienature.fct_get_nomenclature_type('HAB_CAT1'),'8','A2_8','Sous-bois modéré'),
9	A2_9	Sous-bois épars	HAB_CAT1	(pr_vigienature.fct_get_nomenclature_type('HAB_CAT1'),'9','A2_9','Sous-bois épars'),
10	A2_10	Bois mort présent	HAB_CAT1	(pr_vigienature.fct_get_nomenclature_type('HAB_CAT1'),'10','A2_10','Bois mort présent'),
11	A2_11	Bois mort absent	HAB_CAT1	(pr_vigienature.fct_get_nomenclature_type('HAB_CAT1'),'11','A2_11','Bois mort absent'),
1	B2_1	Feuillus	HAB_CAT1	(pr_vigienature.fct_get_nomenclature_type('HAB_CAT1'),'1','B2_1','Feuillus'),
2	B2_2	Conifères	HAB_CAT1	(pr_vigienature.fct_get_nomenclature_type('HAB_CAT1'),'2','B2_2','Conifères'),
3	B2_3	Mixte (10% de chaque)	HAB_CAT1	(pr_vigienature.fct_get_nomenclature_type('HAB_CAT1'),'3','B2_3','Mixte (10% de chaque)'),
4	B2_4	Buissons feuillus de marais	HAB_CAT1	(pr_vigienature.fct_get_nomenclature_type('HAB_CAT1'),'4','B2_4','Buissons feuillus de marais'),
5	B2_5	Buissons conifères de marais	HAB_CAT1	(pr_vigienature.fct_get_nomenclature_type('HAB_CAT1'),'5','B2_5','Buissons conifères de marais'),
6	B2_6	Buissons mixtes de marais	HAB_CAT1	(pr_vigienature.fct_get_nomenclature_type('HAB_CAT1'),'6','B2_6','Buissons mixtes de marais'),
7	B2_7	Feuilles persistantes	HAB_CAT1	(pr_vigienature.fct_get_nomenclature_type('HAB_CAT1'),'7','B2_7','Feuilles persistantes'),
8	B2_8	Garrigue	HAB_CAT1	(pr_vigienature.fct_get_nomenclature_type('HAB_CAT1'),'8','B2_8','Garrigue'),
9	B2_9	Maquis	HAB_CAT1	(pr_vigienature.fct_get_nomenclature_type('HAB_CAT1'),'9','B2_9','Maquis'),
1	C2_1	Haies avec arbres	HAB_CAT1	(pr_vigienature.fct_get_nomenclature_type('HAB_CAT1'),'1','C2_1','Haies avec arbres'),
2	C2_2	Haies sans arbres	HAB_CAT1	(pr_vigienature.fct_get_nomenclature_type('HAB_CAT1'),'2','C2_2','Haies sans arbres'),
3	C2_3	Lignes d’arbres sans haie	HAB_CAT1	(pr_vigienature.fct_get_nomenclature_type('HAB_CAT1'),'3','C2_3','Lignes d’arbres sans haie'),
4	C2_4	Autre limite de terrain	HAB_CAT1	(pr_vigienature.fct_get_nomenclature_type('HAB_CAT1'),'4','C2_4','Autre limite de terrain'),
5	C2_5	Groupe isolé de 1-10 arbres	HAB_CAT1	(pr_vigienature.fct_get_nomenclature_type('HAB_CAT1'),'5','C2_5','Groupe isolé de 1-10 arbres'),
6	C2_6	Pas de haie	HAB_CAT1	(pr_vigienature.fct_get_nomenclature_type('HAB_CAT1'),'6','C2_6','Pas de haie'),
7	C2_7	Montagne	HAB_CAT1	(pr_vigienature.fct_get_nomenclature_type('HAB_CAT1'),'7','C2_7','Montagne'),
8	C2_8	Digue	HAB_CAT1	(pr_vigienature.fct_get_nomenclature_type('HAB_CAT1'),'8','C2_8','Digue'),
1	D2_1	Haies avec arbres	HAB_CAT1	(pr_vigienature.fct_get_nomenclature_type('HAB_CAT1'),'1','D2_1','Haies avec arbres'),
2	D2_2	Haies sans arbres	HAB_CAT1	(pr_vigienature.fct_get_nomenclature_type('HAB_CAT1'),'2','D2_2','Haies sans arbres'),
3	D2_3	Ligne d’arbres sans haie	HAB_CAT1	(pr_vigienature.fct_get_nomenclature_type('HAB_CAT1'),'3','D2_3','Ligne d’arbres sans haie'),
